2021 Postal Area (POA) Code,Usual Resident Population,Score,Decile
0800,7149 ,921,1
0810,34330 ,993,5
0812,18634 ,978,4
0820,19920 ,982,4
0822,25304 ,631,1
0828,1697 ,976,4
0829,1963 ,873,1
0830,18501 ,957,3
0832,18727 ,1025,7
0834,1811 ,1077,9
0835,3153 ,1085,10
0836,7597 ,1087,10
0837,489 ,1054,9
0838,870 ,1012,6
0839,510 ,863,1
0840,457 ,903,1
0841,627 ,993,5
0845,396 ,793,1
0846,317 ,901,1
0847,318 ,766,1
0850,7873 ,918,1
0852,8735 ,601,1
0853,850 ,1019,7
0854,755 ,647,1
0860,3080 ,775,1
0862,715 ,832,1
0870,20341 ,953,3
0872,14676 ,586,1
0873,2756 ,940,2
0874,554 ,990,5
0875,2482 ,934,2
0880,4953 ,848,1
0885,751 ,995,5
0886,755 ,886,1
2000,27936 ,804,1
2007,7410 ,791,1
2008,10400 ,816,1
2009,12658 ,918,1
2010,26443 ,888,1
2011,18187 ,873,1
2015,11422 ,984,4
2016,13072 ,879,1
2017,29003 ,870,1
2018,19878 ,951,2
2019,13467 ,1027,7
2020,21591 ,937,2
2021,14946 ,1002,6
2022,13509 ,981,4
2023,10590 ,1078,9
2024,11380 ,1054,9
2025,7189 ,1037,8
2026,32693 ,984,4
2027,7810 ,1004,6
2028,4709 ,992,5
2029,9911 ,1028,7
2030,14434 ,1111,10
2031,33830 ,1006,6
2032,14643 ,921,1
2033,11927 ,969,3
2034,20249 ,997,5
2035,34602 ,1000,5
2036,33767 ,999,5
2037,16641 ,902,1
2038,9487 ,1026,7
2039,8553 ,1055,9
2040,22803 ,1031,7
2041,15584 ,1037,8
2042,18673 ,943,2
2043,9657 ,984,4
2044,8278 ,1014,6
2045,6480 ,1091,10
2046,27288 ,1038,8
2047,12011 ,1043,8
2048,7619 ,993,5
2049,12258 ,980,4
2050,9381 ,936,2
2060,15135 ,962,3
2061,6158 ,934,2
2062,7088 ,1033,7
2063,6493 ,1125,10
2064,9417 ,982,4
2065,31698 ,1005,6
2066,33844 ,1066,9
2067,27078 ,972,4
2068,17450 ,1099,10
2069,14604 ,1119,10
2070,14648 ,1098,10
2071,13510 ,1099,10
2072,8795 ,1051,8
2073,17221 ,1139,10
2074,23423 ,1125,10
2075,21665 ,1130,10
2076,25340 ,1120,10
2077,42819 ,1005,6
2079,7816 ,1103,10
2080,1766 ,1122,10
2081,5394 ,1121,10
2082,5458 ,1118,10
2083,1665 ,1048,8
2084,3759 ,1137,10
2085,11452 ,1149,10
2086,14214 ,1146,10
2087,13161 ,1118,10
2088,28329 ,1065,9
2089,11491 ,982,4
2090,13533 ,1011,6
2092,7384 ,1161,10
2093,23555 ,1098,10
2094,6141 ,1063,9
2095,16296 ,1004,6
2096,14955 ,1071,9
2097,15991 ,1110,10
2099,42917 ,1030,7
2100,21973 ,1103,10
2101,19885 ,1069,9
2102,8379 ,1123,10
2103,10877 ,1071,9
2104,3807 ,1088,10
2105,2008 ,1118,10
2106,9659 ,1097,10
2107,15422 ,1127,10
2108,1740 ,1103,10
2110,9846 ,1105,10
2111,15456 ,1051,8
2112,38026 ,1017,6
2113,27637 ,989,5
2114,25267 ,1003,6
2115,12686 ,998,5
2116,7274 ,984,4
2117,22185 ,1010,6
2118,27888 ,1036,8
2119,12458 ,1122,10
2120,20988 ,1096,10
2121,34209 ,1026,7
2122,31187 ,994,5
2125,16620 ,1150,10
2126,19082 ,1134,10
2127,23198 ,968,3
2128,3600 ,974,4
2130,7288 ,976,4
2131,23012 ,924,1
2132,10755 ,1018,7
2133,10929 ,1013,6
2134,18224 ,863,1
2135,25915 ,960,3
2136,7763 ,1000,5
2137,27726 ,1037,8
2138,19686 ,987,5
2140,20766 ,908,1
2141,32425 ,947,2
2142,27993 ,878,1
2143,9774 ,940,2
2144,39333 ,863,1
2145,87531 ,985,4
2146,19456 ,1001,5
2147,37285 ,1001,5
2148,67483 ,964,3
