Small unit postcode,Total usable capacity in kWh
800,25
810,"3,476.92"
812,"1,646.50"
820,"1,759.80"
822,"1,195.24"
828,492.27
829,23.4
830,"1,861.67"
832,"2,243.80"
834,393.24
835,597.35
836,"1,065.10"
837,40
838,149.8
840,286.94
841,46.8
845,78
846,27.36
847,11.07
850,435.5
852,307.36
860,76
870,"1,528.52"
872,511.119
873,527.67
874,9.33
875,44.7
880,111.04
886,48.24
2000,57.962
2008,195.604
2009,9.7
2010,547.564
2011,46.8
2015,"1,326.62"
2016,246.914
2017,142.12
2018,"2,307.59"
2019,"2,093.41"
2020,"2,193.94"
2021,802.628
2022,"1,060.21"
2023,"1,552.04"
2024,"1,748.11"
2025,464.349
2026,"2,506.95"
2027,347.9
2028,340.36
2029,"1,237.00"
2030,"3,177.36"
2031,"3,928.83"
2032,"2,519.81"
2033,"1,561.98"
2034,"2,669.58"
2035,"6,689.76"
2036,"7,110.28"
2037,"1,209.35"
2038,"1,181.12"
2039,894.053
2040,"4,044.14"
2041,"1,907.71"
2042,"1,453.09"
2043,603.634
2044,"1,783.96"
2045,"2,641.91"
2046,"6,035.26"
2047,"1,819.11"
2048,"1,158.64"
2049,"1,562.97"
2050,215.21
2060,726.944
2061,111.92
2062,"1,078.65"
2063,"2,761.36"
2064,"1,265.02"
2065,"4,294.53"
2066,"9,726.40"
2067,"5,944.67"
2068,"6,306.84"
2069,"6,897.21"
2070,"6,710.71"
2071,"8,183.76"
2072,"3,142.67"
2073,"9,152.21"
2074,"13,632.73"
2075,"13,423.34"
2076,"12,662.37"
2077,"13,049.04"
2079,"4,691.04"
2080,586.632
2081,"3,520.53"
2082,"3,080.83"
2083,790.718
2084,"2,059.17"
2085,"6,957.69"
2086,"5,308.95"
2087,"6,941.11"
2088,"5,424.15"
2089,381.36
2090,"1,107.44"
2092,"3,654.09"
2093,"7,771.53"
2094,"1,493.52"
2095,"2,290.41"
2096,"3,709.44"
2097,"3,982.16"
2099,"7,921.03"
2100,"7,353.60"
2101,"4,958.18"
2102,"2,176.85"
2103,"3,861.79"
2104,"2,125.13"
2105,586.638
2106,"3,134.10"
2107,"4,474.32"
2108,683.41
2110,"3,726.52"
2111,"5,435.10"
2112,"12,476.91"
2113,"8,590.46"
2114,"7,314.55"
2115,"4,548.32"
2116,"2,911.37"
2117,"10,416.68"
2118,"16,480.16"
2119,"8,079.61"
2120,"10,659.00"
2121,"17,736.79"
2122,"14,196.26"
2125,"16,745.79"
2126,"15,543.39"
2127,"1,964.70"
2128,514.08
2130,978.17
2131,"2,956.17"
2132,"2,729.94"
2133,"2,640.63"
2134,"2,582.79"
2135,"9,967.04"
2136,"2,767.60"
2137,"7,419.93"
2138,"3,753.97"
2140,"1,061.03"
2141,"7,328.09"
2142,"3,763.59"
2143,"2,971.24"
2144,"7,035.78"
2145,"30,244.97"
2146,"8,975.95"
2147,"17,187.33"
2148,"23,925.74"
2150,"1,592.89"
2151,"7,921.27"
2152,"3,807.36"
2153,"45,905.37"
2154,"32,985.90"
2155,"71,540.29"
2156,"11,077.88"
2157,"3,224.64"
2158,"6,776.66"
2159,"3,334.12"
2160,"7,111.90"
2161,"7,147.39"
2162,"5,706.36"
2163,"2,321.57"
2164,"7,224.27"
2165,"10,144.83"
2166,"17,852.88"
2167,"5,365.55"
2168,"12,899.76"
2170,"35,951.99"
2171,"18,740.29"
2172,"1,799.73"
2173,"6,989.99"
2174,"9,778.84"
2175,"1,029.70"
2176,"19,155.07"
2177,"6,566.98"
2178,"2,419.32"
2179,"19,083.21"
2190,"6,734.29"
2191,"1,338.15"
2192,"1,901.04"
2193,"3,517.54"
2194,"2,606.67"
2195,"2,214.61"
2196,"6,509.26"
2197,"2,684.20"
2198,"2,842.67"
2199,"4,702.23"
2200,"8,631.71"
2203,"1,561.68"
2204,"4,266.63"
2205,"2,447.73"
2206,"5,541.92"
2207,"7,494.76"
2208,"3,902.12"
2209,"6,202.99"
2210,"10,540.95"
2211,"7,055.45"
2212,"6,943.69"
2213,"10,666.95"
2214,"1,532.42"
2216,"4,448.08"
2217,"4,772.71"
2218,"3,166.94"
2219,"3,032.01"
2220,"8,089.55"
2221,"7,338.36"
2222,"2,575.57"
2223,"7,931.39"
2224,"5,011.92"
2225,"2,373.46"
2226,"4,701.29"
2227,"4,408.26"
2228,"5,080.30"
2229,"8,297.44"
2230,"6,680.69"
2231,504.804
2232,"10,382.91"
2233,"10,576.22"
2234,"16,184.56"
2250,"22,399.03"
2251,"12,941.06"
2256,"4,451.74"
2257,"9,884.64"
2258,"2,432.56"
2259,"24,052.57"
2260,"9,216.91"
2261,"14,683.66"
2262,"4,402.20"
2263,"5,386.90"
2264,"6,050.80"
2265,"4,169.36"
2267,705.089
2278,820.074
2280,"9,124.95"
2281,"5,503.66"
2282,"7,016.14"
2283,"8,808.97"
2284,"5,508.51"
2285,"9,962.55"
2286,"1,257.52"
2287,"11,277.61"
2289,"5,659.97"
2290,"9,411.28"
2291,"4,546.63"
2292,788.958
2293,486.35
2294,367.853
2295,"2,758.52"
2296,164.87
2297,417.456
2298,"1,659.33"
2299,"3,087.70"
2300,"1,860.41"
2303,"3,185.70"
2304,"3,868.94"
2305,"5,039.95"
2306,110.92
2307,958.116
2311,296.91
2312,381.869
2315,"4,789.33"
2316,"2,355.13"
2317,"2,199.38"
2318,"6,971.55"
2319,"2,066.97"
2320,"14,660.57"
2321,"9,830.62"
2322,"9,893.55"
2323,"7,285.02"
2324,"8,819.49"
2325,"10,061.08"
2326,"2,944.12"
2327,"1,451.52"
2328,834.468
2329,461.67
2330,"7,526.60"
2333,"3,779.57"
2334,"1,340.49"
2335,"4,187.67"
2336,926.298
2337,"2,404.55"
2338,232.514
2339,116.98
2340,"12,663.03"
2341,600.48
2342,136.7
2343,"1,206.80"
2344,237.66
2345,131.491
2346,624.516
2347,222.825
2350,"5,875.64"
2352,541.292
2353,127.45
2354,727.679
2355,63.34
2356,47
2357,729.666
2358,"1,271.30"
2359,311.35
2360,"2,857.31"
2361,264.65
2365,921.83
2369,170.559
2370,"1,851.53"
2371,439.024
2372,"1,583.34"
2379,203.89
2380,"2,801.65"
2381,303.93
2382,227.71
2386,9.5
2387,66.24
2388,250.42
2390,"1,974.95"
2395,98.294
2396,61.88
2397,112
2398,89.6
2399,61.3
2400,"2,068.32"
2401,182.96
2402,396.98
2403,220.284
2404,308.682
