Postcode,Total
800,1
810,148
812,78
820,72
822,38
828,16
829,1
830,76
832,97
834,13
835,23
836,40
837,1
838,5
840,11
841,2
845,2
846,1
847,1
850,16
852,9
860,1
870,60
872,9
873,15
874,1
875,2
880,3
886,1
2000,3
2008,9
2009,1
2010,26
2011,1
2015,46
2016,9
2017,4
2018,82
2019,84
2020,80
2021,37
2022,48
2023,54
2024,76
2025,17
2026,105
2027,13
2028,13
2029,43
2030,97
2031,156
2032,86
2033,52
2034,102
2035,256
2036,252
2037,58
2038,58
2039,40
2040,175
2041,87
2042,72
2043,32
2044,68
2045,101
2046,210
2047,68
2048,53
2049,74
2050,10
2060,32
2061,5
2062,45
2063,96
2064,49
2065,160
2066,347
2067,174
2068,219
2069,225
2070,209
2071,232
2072,98
2073,294
2074,436
2075,397
2076,388
2077,409
2079,160
2080,24
2081,121
2082,115
2083,28
2084,68
2085,234
2086,199
2087,241
2088,197
2089,15
2090,45
2092,128
2093,307
2094,64
2095,95
2096,147
2097,144
2099,301
2100,276
2101,191
2102,91
2103,149
2104,66
2105,18
2106,111
2107,179
2108,26
2110,118
2111,174
2112,394
2113,275
2114,228
2115,145
2116,87
2117,315
2118,479
2119,245
2120,342
2121,521
2122,420
2125,506
2126,465
2127,62
2128,16
2130,41
2131,101
2132,90
2133,86
2134,80
2135,287
2136,86
2137,235
2138,118
2140,32
2141,218
2142,109
2143,91
2144,198
2145,925
2146,267
2147,537
2148,730
2150,46
2151,241
2152,120
2153,1333
2154,949
2155,2055
2156,306
2157,93
2158,203
2159,93
2160,209
2161,204
2162,165
2163,71
2164,214
2165,297
2166,512
2167,166
2168,386
2170,1094
2171,572
2172,55
2173,230
2174,269
2175,27
2176,568
2177,198
2178,63
2179,576
2190,199
2191,46
2192,59
2193,135
2194,79
2195,62
2196,193
2197,76
2198,86
2199,138
2200,256
2203,71
2204,173
2205,74
2206,210
2207,239
2208,129
2209,184
2210,337
2211,216
2212,219
2213,365
2214,56
2216,149
2217,152
2218,94
2219,99
2220,228
2221,220
2222,92
2223,260
2224,168
2225,78
2226,175
2227,162
2228,176
2229,297
2230,243
2231,19
2232,373
2233,394
2234,568
2250,848
2251,501
2256,191
2257,436
2258,88
2259,951
2260,357
2261,633
2262,192
2263,224
2264,251
2265,162
2267,35
2278,34
2280,386
2281,234
2282,278
2283,382
2284,222
2285,421
2286,55
2287,467
2289,233
2290,408
2291,191
2292,32
2293,22
2294,17
2295,131
2296,11
2297,20
2298,80
2299,126
2300,85
2303,144
2304,187
2305,221
2306,6
2307,32
2311,12
2312,17
2315,229
2316,94
2317,107
2318,292
2319,96
2320,606
2321,395
2322,422
2323,323
2324,415
2325,412
2326,118
2327,72
2328,27
2329,17
2330,303
2333,165
2334,62
2335,167
2336,39
2337,92
2338,13
2339,5
2340,542
2341,32
2342,5
2343,53
2344,11
2345,8
2346,31
2347,14
2350,267
2352,30
2353,5
2354,30
2355,4
2356,1
2357,29
2358,63
2359,11
2360,125
2361,10
2365,40
2369,9
2370,75
2371,18
2372,62
2379,4
2380,104
2381,10
2382,11
2386,1
2387,2
2388,11
2390,79
2395,5
2396,4
2397,4
2398,1
2399,3
2400,76
2401,7
2402,16
2403,9
2404,14
2405,1
2406,4
2409,4
2415,9
2420,58
2421,40
2422,68
2423,56
2424,6
2425,38
2426,10
2427,64
2428,286
2429,94
2430,402
2431,82
2439,87
2440,191
2441,59
2443,120
2444,587
2445,140
2446,187
2447,114
2448,104
2449,24
2450,591
2452,154
2453,41
2454,116
2455,53
2456,245
2460,368
2462,47
2463,172
2464,161
2465,3
2466,27
2469,80
2470,219
2471,42
2472,39
2473,75
2474,125
2475,4
2476,6
2477,260
2478,620
2479,162
2480,896
2481,260
2482,181
2483,256
2484,355
2485,122
2486,515
2487,299
2488,63
2489,150
2490,5
2500,236
2502,97
2505,71
2506,73
2508,151
2515,240
2516,114
2517,171
2518,186
2519,196
2525,200
2526,247
2527,467
2528,203
2529,365
2530,551
2533,401
2534,122
2535,188
2536,299
2537,197
2538,51
2539,308
2540,869
2541,345
2545,23
2546,141
2548,109
2549,46
2550,219
2551,42
2556,13
2557,433
2558,137
2559,40
2560,1009
2563,41
2564,149
2565,565
2566,426
2567,653
2568,37
2569,38
2570,1035
2571,256
2572,77
2573,68
2574,79
2575,321
2576,273
2577,370
2578,79
2579,118
2580,385
2581,50
2582,271
2583,84
2584,14
2585,5
2586,66
2587,75
2588,6
2590,83
2594,102
2600,88
2602,327
2603,116
2604,75
2605,125
2606,95
2607,182
2609,5
2611,656
2612,78
2614,267
2615,597
2617,328
2618,22
2619,151
2620,750
2621,155
2622,132
2623,3
2626,9
2627,82
2628,20
2629,5
2630,85
2631,4
2632,13
2633,1
2640,642
2641,175
2642,135
2643,50
2644,61
2645,6
2646,90
2647,41
2648,27
2650,762
2651,25
2652,59
2653,20
2655,31
2656,17
2658,27
2659,26
