Small Unit Postcode,Total Rated Power Output In kW
0,4.46
200,0.08
800,"5,148.62"
801,386.598
803,11.685
804,84.87
810,"32,237.05"
811,9
812,"16,471.69"
813,85.549
814,18.24
820,"18,591.05"
821,165.543
822,"16,982.82"
828,"6,987.18"
829,"1,461.93"
830,"19,536.87"
831,45.38
832,"22,613.38"
834,"2,979.19"
835,"5,230.16"
836,"12,360.43"
837,693.571
838,"1,662.58"
839,812.78
840,"1,065.06"
841,"1,036.52"
845,752.891
846,392.92
847,288.465
850,"9,222.54"
851,364.375
852,"5,131.16"
853,52.97
854,263.845
860,"1,726.28"
861,136.115
862,"1,237.11"
870,"22,438.02"
871,438.22
872,"4,632.14"
873,"1,824.91"
874,193.99
875,"1,270.38"
880,879.451
881,189.91
885,784.59
886,189.69
1340,1.14
1355,6.83
1435,1.54
1460,4.75
1465,10.56
1470,5.81
1475,20.285
1480,4.88
1485,2
1490,9.3
1495,27.22
1560,5.025
1570,24.48
1595,35.26
1630,33.785
1640,114.675
1655,29.88
1658,5.04
1660,31.905
1670,21.04
1675,5.59
1680,20.17
1685,35.965
1710,24.6
1715,3.01
1730,43.49
1741,10
1750,10.56
1755,29.005
1765,62.76
1790,128.22
1800,14.76
1805,14.72
1825,6.6
1830,6.08
1835,9.025
1848,1.04
1860,25.42
1871,8.17
1875,1.61
1885,13.29
1890,22.19
2000,"2,437.53"
2007,692.75
2008,"1,283.74"
2009,838.58
2010,"2,636.44"
2011,"1,213.44"
2015,"9,491.07"
2016,"1,840.36"
2017,"2,354.39"
2018,"5,423.25"
2019,"9,392.99"
2020,"6,199.66"
2021,"3,163.08"
2022,"3,290.37"
2023,"4,718.81"
2024,"5,570.10"
2025,"1,833.50"
2026,"7,712.89"
2027,"1,284.62"
2028,"1,169.64"
2029,"3,115.79"
2030,"8,224.44"
2031,"9,831.67"
2032,"5,536.13"
2033,"3,227.08"
2034,"6,284.66"
2035,"15,701.66"
2036,"19,011.44"
2037,"3,441.85"
2038,"3,363.94"
2039,"2,703.84"
2040,"10,458.63"
2041,"5,009.99"
2042,"5,116.49"
2043,"1,526.91"
2044,"5,605.45"
2045,"5,229.62"
2046,"12,929.08"
2047,"4,144.01"
2048,"2,876.12"
2049,"4,069.84"
2050,"2,313.86"
2055,2.4
2057,277.495
2059,43.36
2060,"3,301.50"
2061,424.665
2062,"2,173.15"
2063,"5,952.65"
2064,"5,039.01"
2065,"8,586.85"
2066,"20,822.05"
2067,"8,937.73"
2068,"12,890.65"
2069,"11,979.74"
2070,"10,776.32"
2071,"10,078.78"
2072,"4,456.70"
2073,"13,756.38"
2074,"19,651.53"
2075,"19,220.23"
2076,"20,332.84"
2077,"21,013.75"
2079,"7,294.90"
2080,"2,515.12"
2081,"6,159.35"
2082,"5,895.78"
2083,"2,026.83"
2084,"5,595.38"
2085,"13,378.64"
2086,"13,083.70"
2087,"12,308.67"
2088,"13,148.58"
2089,"1,636.52"
2090,"2,810.84"
2092,"7,224.11"
2093,"16,613.55"
2094,"2,596.16"
2095,"4,751.94"
2096,"8,133.80"
2097,"10,600.91"
2099,"20,634.41"
2100,"20,534.92"
2101,"11,797.35"
2102,"6,917.95"
2103,"9,164.32"
2104,"3,512.65"
2105,"1,456.03"
2106,"6,071.41"
2107,"11,345.76"
2108,"1,810.27"
2109,21.12
2110,"6,500.88"
2111,"9,826.13"
2112,"19,257.54"
2113,"17,136.94"
2114,"12,210.93"
2115,"7,968.50"
2116,"6,216.52"
2117,"14,661.19"
2118,"18,601.90"
2119,"10,263.38"
2120,"18,390.04"
2121,"19,059.39"
2122,"16,815.67"
2123,3.42
2124,147.085
2125,"21,365.23"
2126,"19,635.88"
2127,"3,857.98"
2128,"5,657.73"
2130,"2,611.53"
2131,"5,756.15"
2132,"5,232.59"
2133,"5,078.03"
2134,"4,177.50"
2135,"15,066.00"
2136,"5,552.71"
2137,"14,649.59"
2138,"6,877.77"
2140,"4,350.68"
2141,"16,335.86"
2142,"12,730.23"
