Postcode,Total
0,4
200,1
800,150
801,12
803,2
804,16
810,"4,344"
811,2
812,"2,374"
813,7
814,4
820,"1,613"
821,8
822,"1,350"
828,493
829,49
830,"2,610"
831,10
832,"3,341"
834,336
835,644
836,"1,547"
837,70
838,163
839,41
840,149
841,95
845,89
846,58
847,25
850,993
851,47
852,400
853,2
854,20
860,186
861,24
862,167
870,"3,100"
871,59
872,314
873,192
874,25
875,179
880,48
881,19
885,31
886,12
1340,1
1355,2
1435,1
1460,1
1465,1
1470,2
1475,4
1480,2
1485,1
1490,2
1495,4
1560,1
1570,3
1595,5
1630,7
1640,3
1655,4
1658,1
1660,4
1670,2
1675,1
1680,3
1685,5
1710,3
1715,2
1730,8
1741,1
1750,1
1755,5
1765,12
1790,5
1800,2
1805,2
1825,1
1830,1
1835,2
1848,1
1860,3
1871,2
1875,1
1885,5
1890,6
2000,83
2007,41
2008,133
2009,36
2010,317
2011,73
2015,492
2016,236
2017,190
2018,701
2019,758
2020,642
2021,404
2022,490
2023,507
2024,707
2025,247
2026,"1,104"
2027,144
2028,119
2029,362
2030,907
2031,"1,337"
2032,742
2033,393
2034,880
2035,"2,166"
2036,"2,427"
2037,517
2038,617
2039,456
2040,"1,557"
2041,866
2042,890
2043,240
2044,751
2045,600
2046,"1,702"
2047,560
2048,422
2049,640
2050,237
2055,1
2057,31
2059,3
2060,346
2061,49
2062,326
2063,735
2064,444
2065,"1,177"
2066,"2,460"
2067,"1,198"
2068,"1,713"
2069,"1,457"
2070,"1,314"
2071,"1,190"
2072,516
2073,"1,675"
2074,"2,465"
2075,"2,244"
2076,"2,413"
2077,"2,759"
2079,"1,037"
2080,273
2081,946
2082,928
2083,302
2084,555
2085,"1,739"
2086,"1,722"
2087,"1,663"
2088,"1,579"
2089,201
2090,406
2092,878
2093,"2,146"
2094,386
2095,636
2096,"1,145"
2097,"1,522"
2099,"2,792"
2100,"2,448"
2101,"1,594"
2102,904
2103,"1,100"
2104,409
2105,190
2106,801
2107,"1,506"
2108,230
2109,1
2110,803
2111,"1,250"
2112,"2,534"
2113,"1,780"
2114,"1,606"
2115,"1,097"
2116,614
2117,"1,923"
2118,"2,742"
2119,"1,355"
2120,"2,349"
2121,"2,726"
2122,"2,470"
2123,1
2124,6
2125,"2,878"
2126,"2,963"
2127,276
2128,230
2130,344
2131,806
2132,728
2133,748
2134,550
2135,"1,656"
2136,579
2137,"1,807"
2138,816
2140,352
2141,"2,260"
2142,"1,379"
2143,865
2144,"2,005"
2145,"8,072"
2146,"2,271"
2147,"5,369"
2148,"8,030"
2150,499
2151,"1,709"
2152,"1,031"
2153,"9,261"
2154,"5,698"
2155,"14,182"
2156,"2,451"
2157,701
2158,"1,276"
2159,887
2160,"2,382"
2161,"2,606"
2162,"1,760"
2163,747
2164,"2,912"
2165,"3,674"
2166,"4,785"
2167,"1,509"
2168,"5,127"
2170,"12,332"
2171,"5,845"
2172,544
2173,"2,063"
2174,"2,218"
2175,322
2176,"6,377"
2177,"2,193"
2178,612
2179,"5,208"
2190,"2,171"
2191,439
2192,658
2193,"1,125"
2194,727
2195,829
2196,"2,274"
2197,951
2198,907
2199,"1,498"
2200,"2,732"
2203,774
2204,"1,700"
2205,766
2206,"1,688"
2207,"2,027"
2208,"1,175"
2209,"1,455"
2210,"2,990"
2211,"1,870"
2212,"1,857"
2213,"2,761"
2214,770
2216,"1,171"
2217,"1,317"
2218,799
2219,949
2220,"1,638"
2221,"1,574"
2222,699
2223,"1,910"
2224,"1,337"
2225,650
2226,"1,523"
2227,"1,348"
2228,"1,574"
2229,"2,765"
2230,"2,400"
2231,348
2232,"3,110"
2233,"3,788"
2234,"4,715"
2250,"10,030"
2251,"5,289"
2256,"2,340"
2257,"4,307"
2258,892
2259,"13,621"
2260,"3,755"
2261,"7,713"
2262,"3,651"
2263,"3,911"
2264,"3,489"
2265,"2,110"
2267,555
2278,553
2280,"4,729"
2281,"3,069"
2282,"2,892"
2283,"4,725"
2284,"2,606"
2285,"6,145"
2286,834
2287,"6,395"
2289,"2,682"
2290,"4,980"
2291,"1,983"
2292,380
2293,322
2294,207
2295,"1,277"
2296,239
2297,283
2298,"1,088"
2299,"1,394"
2300,786
2302,31
2303,"1,263"
2304,"2,082"
2305,"1,952"
2306,206
2307,636
2308,4
2311,272
2312,392
2315,"2,965"
2316,"1,609"
2317,"1,338"
2318,"3,738"
2319,"1,479"
2320,"8,113"
2321,"4,860"
2322,"5,608"
2323,"4,471"
2324,"5,990"
2325,"5,911"
2326,"1,579"
2327,"1,274"
2328,466
2329,430
2330,"4,318"
