Small Unit Installation Postcode,Total Installation Quantity
2084,1
2168,1
2195,1
2259,1
2267,1
2304,1
2318,1
2321,1
2329,1
2330,2
2333,2
2335,1
2340,2
2343,2
2350,3
2353,1
2354,4
2358,1
2360,2
2370,1
2372,1
2380,1
2405,1
2429,1
2440,2
2444,1
2446,1
2447,1
2450,1
2470,1
2477,1
2479,2
2480,2
2481,2
2482,1
2484,1
2526,1
2527,1
2533,3
2534,2
2535,4
2538,1
2539,1
2540,2
2546,2
2550,2
2551,1
2575,1
2576,3
2577,8
2579,3
2580,11
2581,2
2582,1
2583,13
2584,1
2585,1
2586,2
2588,1
2618,1
2620,1
2622,3
2623,1
2626,3
2627,3
2630,2
2631,2
2632,2
2706,1
2765,1
2782,1
2787,4
2790,1
2794,1
2795,9
2799,2
2800,2
2803,1
2820,1
2830,1
2835,1
2842,1
2843,2
2850,8
2852,1
3013,1
3020,1
3029,1
3030,1
3058,1
3072,1
3101,1
3152,2
3182,1
3197,1
3233,1
3237,1
3240,1
3283,1
3333,1
3340,1
3341,1
3342,2
3351,1
3352,3
3355,1
3364,1
3371,1
3373,1
3437,1
3442,2
3444,3
3461,3
3490,1
3523,2
3551,1
3610,2
3659,1
3691,1
3714,1
3723,1
3756,2
3757,1
3761,1
3764,1
3770,1
3777,1
3806,1
3844,1
3851,1
3880,1
3885,1
3898,1
3921,7
3953,2
3956,1
3960,1
3984,2
3995,2
4061,1
4075,1
4228,1
4272,1
4312,1
4350,2
4352,6
4361,1
4370,1
4421,1
4507,1
4520,1
4521,1
4552,1
4570,1
4574,1
4660,1
4674,3
4678,1
4680,10
4829,1
4861,1
4875,2
4879,1
4883,1
5000,1
5039,1
5072,1
5156,1
5160,1
5163,2
5171,14
5172,1
5201,1
5203,3
5211,2
5214,2
5221,2
5222,1
5223,3
5235,1
5238,1
5250,1
5254,1
5271,1
5275,1
5291,1
5351,1
5353,1
5354,1
5357,1
5374,2
5381,2
5434,1
5453,1
5501,1
5571,2
5577,1
5605,1
5607,2
5641,1
5670,1
5680,3
5690,1
5710,1
5722,2
6110,1
6163,1
6210,1
6221,1
6237,1
6252,1
6258,1
6280,1
6282,1
6284,1
6285,1
6290,2
6302,2
6304,1
6315,1
6323,1
6324,2
6326,1
6330,1
6333,2
6346,1
6450,2
6460,1
6530,1
6532,1
6638,1
6701,7
7016,1
7019,1
7025,1
7027,1
7030,1
7054,1
7112,2
7116,1
7140,2
7150,1
7170,1
7173,1
7180,1
7182,1
7184,1
7249,1
7250,1
7252,1
7255,1
7256,4
7469,1
