Small Unit Installation Postcode,Total Installation Quantity
0,3
800,22
810,31
812,35
820,34
822,649
828,8
829,20
830,100
831,2
832,44
834,1
835,10
836,7
837,2
838,8
841,1
845,3
846,1
850,64
851,1
852,91
853,78
860,7
861,1
870,269
872,142
873,4
874,1
875,2
880,68
885,239
886,209
1355,1
1450,1
1475,1
1490,8
1493,1
1495,7
1499,4
1582,2
1595,1
1630,3
1658,1
1660,1
1680,1
1715,2
1730,1
1755,3
1765,2
1771,1
1790,3
1811,3
1825,2
1835,3
1848,9
1860,4
1871,3
1875,5
1890,12
2000,112
2007,23
2008,65
2009,26
2010,127
2011,51
2015,104
2016,71
2017,36
2018,85
2019,185
2020,121
2021,80
2022,69
2023,31
2024,65
2025,35
2026,101
2027,15
2028,19
2029,30
2030,75
2031,166
2032,178
2033,62
2034,75
2035,284
2036,499
2037,135
2038,119
2039,154
2040,261
2041,137
2042,188
2043,57
2044,172
2045,67
2046,238
2047,73
2048,78
2049,116
2050,30
2057,6
2059,1
2060,73
2061,35
2062,36
2063,56
2064,76
2065,154
2066,295
2067,169
2068,172
2069,174
2070,158
2071,141
2072,91
2073,255
2074,462
2075,275
2076,558
2077,837
2079,277
2080,119
2081,272
2082,254
2083,108
2084,124
2085,254
2086,210
2087,244
2088,168
2089,53
2090,54
2092,70
2093,214
2094,23
2095,81
2096,109
2097,155
2099,421
2100,442
2101,354
2102,86
2103,178
2104,96
2105,89
2106,113
2107,208
2108,21
2110,90
2111,163
2112,310
2113,337
2114,260
2115,243
2116,200
2117,395
2118,643
2119,276
2120,556
2121,434
2122,419
2123,2
2124,2
2125,406
2126,386
2127,89
2128,123
2130,55
2131,172
2132,117
2133,100
2134,130
2135,197
2136,119
2137,175
2138,95
2140,127
2141,436
2142,490
2143,378
2144,520
2145,1847
2146,565
2147,1838
2148,2573
2150,268
2151,505
2152,258
2153,1405
2154,1017
2155,563
2156,558
2157,161
2158,291
2159,228
2160,712
2161,1026
2162,1059
2163,509
2164,1890
2165,2134
2166,3498
2167,379
2168,1424
2170,4016
2171,394
2172,62
2173,346
2174,15
2175,147
2176,1782
2177,462
2178,347
2179,378
2190,574
2191,57
2192,207
2193,176
2194,155
2195,310
2196,528
2197,469
2198,324
2199,792
2200,1435
2203,120
2204,458
2205,153
2206,207
2207,334
2208,270
2209,282
2210,780
2211,734
2212,592
2213,896
2214,247
2216,245
2217,287
2218,138
2219,122
2220,205
2221,197
2222,140
2223,344
2224,340
2225,209
2226,458
2227,319
2228,363
2229,734
2230,408
2231,112
2232,924
2233,809
2234,1174
2250,2576
2251,1468
2256,744
2257,1343
2258,192
2259,2621
2260,733
2261,1658
2262,888
2263,1239
2264,899
2265,359
2267,193
2278,172
2280,1354
2281,963
2282,830
2283,1507
2284,821
2285,1403
2286,232
2287,1435
2289,592
2290,1553
2291,234
2292,95
2293,50
2294,63
2295,453
2296,42
2297,55
2298,269
2299,340
2300,117
2302,6
2303,155
2304,488
2305,357
2306,55
2307,241
2309,1
2311,44
2312,98
2315,1231
2316,379
2317,409
2318,862
2319,528
2320,1384
2321,709
2322,1225
2323,872
2324,1347
2325,1283
2326,400
2327,395
2328,158
2329,55
2330,1066
2333,697
2334,191
2335,356
2336,130
2337,466
2338,49
2339,18
2340,1229
2341,32
2342,10
2343,108
2344,15
2345,13
2346,53
2347,50
2350,767
2352,50
2353,17
2354,88
2355,17
2356,5
2357,226
2358,97
2359,30
2360,444
2361,48
2365,86
2369,24
2370,114
2371,36
2372,311
2379,7
2380,374
2381,24
2382,41
2386,8
2387,8
2388,93
2390,237
2395,21
2396,55
2397,10
2398,17
2399,25
2400,625
2401,20
2402,39
2403,16
2404,41
2405,11
2406,35
2408,13
2409,13
2410,8
2411,4
2415,13
2420,125
2421,98
2422,290
2423,154
2424,13
2425,112
2426,44
2427,231
2428,1710
2429,512
2430,1970
2431,229
2439,314
2440,617
2441,159
2443,357
2444,2471
2445,437
2446,671
2447,299
2448,470
2449,83
2450,2023
2452,675
2453,83
2454,307
2455,121
2456,763
2460,1036
2462,70
2463,246
2464,315
2465,3
2466,70
2469,106
2470,472
2471,70
2472,44
2473,76
2474,356
2475,13
2476,26
2477,476
2478,1207
2479,163
2480,1459
2481,493
2482,230
2483,450
2484,1950
2485,400
2486,1172
2487,527
2488,120
2489,363
2490,45
2500,604
2502,368
2505,163
2506,167
2508,553
2515,398
2516,142
2517,260
2518,351
2519,342
2520,1
2525,222
2526,577
2527,618
2528,617
2529,487
2530,693
2533,716
2534,278
2535,536
2536,1124
2537,517
2538,147
2539,1261
2540,2632
2541,1343
2545,30
2546,300
2548,349
2549,149
2550,608
2551,237
2555,17
2556,122
2557,349
2558,406
2559,28
2560,2852
2563,37
2564,694
2565,1064
2566,1298
2567,667
2568,68
2569,107
2570,1274
2571,502
2572,308
2573,175
2574,201
2575,601
2576,388
2577,632
2578,86
2579,151
2580,607
2581,84
2582,377
2583,188
2584,24
2585,5
2586,114
2587,181
2588,24
2590,198
2594,254
2600,160
2602,1384
2603,163
2604,422
2605,344
2606,229
2607,417
2609,16
2611,2129
2612,274
2614,753
2615,1888
2616,10
2617,1120
2618,53
2619,134
2620,1165
2621,238
2622,88
2623,12
2624,1
2626,12
2627,130
2628,42
2629,92
2630,160
2631,16
2632,43
2633,6
