Small Unit Installation Postcode,Total Installation Quantity
0,677
200,2
800,98
801,40
804,27
810,3634
811,9
812,2544
813,13
814,39
820,1376
821,21
822,1053
825,3
826,6
827,1
828,443
829,205
830,2924
831,56
832,3252
834,68
835,547
836,833
837,55
838,72
839,66
840,51
841,29
845,97
846,32
847,15
850,709
851,130
852,261
853,115
854,55
860,110
861,31
862,7
870,2599
871,130
872,607
873,7
875,19
880,294
881,64
885,6
886,67
909,1
1095,1
1174,1
1455,4
1460,1
1475,2
1480,1
1490,1
1495,2
1499,2
1582,1
1590,3
1595,2
1630,3
1639,2
1655,3
1658,1
1675,1
1680,1
1685,15
1700,4
1710,43
1715,3
1730,7
1750,1
1755,6
1765,5
1790,14
1805,1
1811,1
1816,1
1825,1
1830,19
1848,16
1851,1
1871,7
1875,2
1885,17
1890,18
1891,2
2000,10
2002,1
2007,9
2008,43
2009,9
2010,82
2011,6
2015,87
2016,56
2017,22
2018,49
2019,58
2020,75
2021,91
2022,67
2023,48
2024,85
2025,52
2026,142
2027,18
2028,7
2029,34
2030,82
2031,216
2032,77
2033,42
2034,117
2035,288
2036,464
2037,221
2038,213
2039,176
2040,468
2041,289
2042,190
2043,37
2044,94
2045,64
2046,179
2047,37
2048,71
2049,119
2050,58
2055,3
2057,14
2058,1
2060,54
2061,5
2062,46
2063,55
2064,27
2065,145
2066,244
2067,127
2068,169
2069,150
2070,185
2071,164
2072,73
2073,250
2074,502
2075,318
2076,387
2077,562
2079,232
2080,86
2081,285
2082,380
2083,103
2084,106
2085,199
2086,219
2087,235
2088,149
2089,43
2090,51
2091,1
2092,92
2093,226
2094,30
2095,57
2096,106
2097,151
2098,1
2099,257
2100,355
2101,265
2102,67
2103,143
2104,71
2105,55
2106,104
2107,220
2108,41
2110,81
2111,147
2112,310
2113,270
2114,226
2115,163
2116,60
2117,314
2118,558
2119,186
2120,526
2121,352
2122,388
2123,2
2124,5
2125,316
2126,246
2127,470
2128,8
2130,59
2131,93
2132,76
2133,81
2134,60
2135,138
2136,36
2137,180
2138,62
2139,1
2140,31
2141,143
2142,111
2143,114
2144,132
2145,858
2146,302
2147,833
2148,928
2150,49
2151,297
2152,191
2153,1160
2154,711
2155,524
2156,522
2157,153
2158,220
2159,263
2160,271
2161,280
2162,235
2163,75
2164,427
2165,469
2166,598
2167,205
2168,467
